doc_name,chunk_id,chunk_text
01_General_Return_Policy_Overview.txt,0,"General Return Policy Overview At ReturnMind Inc., we strive to provide a stress-free shopping experience by offering a customer-friendly return policy. We understand that sometimes purchases dont work out, and we want to make sure the return process is as simple and fair as possible. Our general return policy allows customers to return most products within 30 days of the delivery date. To be eligible, items must be unused, in their original condition, and include all original packaging, manuals, tags, and accessories. If your product is defective or damaged during shipping, please notify us within 48 hours for a free return. We do not charge restocking fees for most items. However, high-value electronics or large appliances may incur a 10% restocking fee if returned due to buyers remorse. In cases of defective items, ReturnMind will cover the return shipping cost and waive any fees. You can initiate a return by logging into your ReturnMind account, selecting the order, and clicking Request Return. Well provide a prepaid return label and instructions. After we receive and inspect the item, your refund will be processed within 57 business days to the original payment method. If you paid using store credit or gift cards, the amount will be returned to your ReturnMind wallet. Returns that do not meet our criteria may be rejected or issued a partial refund. We encourage customers to retain the original shipping box and receipt for a smoother return experience. Products received as gifts can be returned for store credit. ReturnMind reserves the right to modify this policy at any time. Please refer to your specific product page or invoice for any item-specific return conditions. If you need help at any point, visit our Help Center or contact support@returnmind.com. Our support agents are here to assist you Monday through Friday from 9 AM to 6 PM EST."
01_General_Return_Policy_Overview.txt,1,"If you need help at any point, visit our Help Center or contact support@returnmind.com. Our support agents are here to assist you Monday through Friday from 9 AM to 6 PM EST."
01_General_Return_Policy_Overview.txt,2,Our support agents are here to assist you Monday through Friday from 9 AM to 6 PM EST.
02_How_to_Initiate_a_Return_Step-by-Step.txt,0,"How to Initiate a Return Step-by-Step If you're not satisfied with your purchase from ReturnMind Inc., initiating a return is easy and can be done completely online. Heres a detailed step-by-step guide to help you through the return process: 1. Sign in to Your Account: Go to returnmind.com and log in. Navigate to My Orders from your dashboard. 2. Find Your Order: Locate the order containing the product you want to return. Click on View Order Details. 3. Select Return: Click on the Return Item button next to the eligible product. 4. Choose a Return Reason: From the dropdown menu, select why you are returning the item. You can also add notes for clarity. 5. Upload Photos (If Applicable): For damaged or incorrect items, you may be asked to upload images as evidence. 6. Select Return Method: You can choose between dropping off the package at a partner location (UPS, FedEx, Canada Post) or scheduling a pickup (available in select cities). 7. Download and Print Return Label: Once confirmed, a return label will be generated. Attach this securely to your return package. 8. Package Your Item: Use the original box if possible. Make sure all tags, manuals, and accessories are included. 9. Drop Off or Wait for Pickup: Follow the return instructions. Youll receive tracking updates via email. After your item is received and inspected, ReturnMind will notify you of the approval or rejection of your refund. Approved refunds are issued within 57 business days. For exchanges, the replacement item is dispatched once the return is processed. If you encounter any issues during this process, our customer support team is available via chat, phone, or email to assist you."
02_How_to_Initiate_a_Return_Step-by-Step.txt,1,"For exchanges, the replacement item is dispatched once the return is processed. If you encounter any issues during this process, our customer support team is available via chat, phone, or email to assist you."
02_How_to_Initiate_a_Return_Step-by-Step.txt,2,"If you encounter any issues during this process, our customer support team is available via chat, phone, or email to assist you."
03_Eligibility_Criteria_for_Returns.txt,0,"Eligibility Criteria for Returns ReturnMind Inc. values transparency and fairness. Thats why weve clearly outlined our eligibility criteria for returns. Before initiating a return, make sure your item meets the following conditions: - Return Window: The item must be returned within 30 days of delivery. Certain categories like apparel and books may have extended windows (up to 45 days), while perishables are not eligible at all. - Product Condition: The item must be unused, unwashed, and in resalable condition. Electronics must have no signs of physical damage or liquid exposure. Apparel should still have original tags. - Original Packaging: All returns must be sent back with the original manufacturers packaging. This includes boxes, plastic wraps, protective foam, and tamper seals. - Accessories and Manuals: Items such as chargers, adapters, user manuals, and warranty cards must be returned intact. - Proof of Purchase: A valid receipt, order confirmation, or invoice must be included with your return package. Items returned that do not meet these criteria may be rejected or subject to a partial refund depending on the condition of the product. For example: - A phone returned without its charger may receive only 80% of the original refund value. - Used items, like a blender with food residue, will be rejected unless defective. Exceptions may apply for items that arrived damaged or incorrect. If that's the case, contact us within 48 hours to avoid disqualification. Please double-check your products eligibility before initiating the return to ensure a quick and smooth process."
03_Eligibility_Criteria_for_Returns.txt,1,"If that's the case, contact us within 48 hours to avoid disqualification. Please double-check your products eligibility before initiating the return to ensure a quick and smooth process."
03_Eligibility_Criteria_for_Returns.txt,2,Please double-check your products eligibility before initiating the return to ensure a quick and smooth process.
04_Return_Time_Windows_Based_on_Product_Type.txt,0,"Return Time Windows Based on Product Type ReturnMind Inc. offers a flexible return policy tailored to different product categories. Below is a breakdown of our return windows: - Electronics: 30 days from the delivery date. Includes laptops, tablets, phones, and accessories. Must be unopened or in like-new condition. - Apparel & Footwear: 45 days. Items must be unworn, unwashed, and with all tags intact. - Home & Kitchen Appliances: 15 days. Items must not have been installed or used. - Books & Stationery: 10 days. No markings, highlights, or damaged spines. - Perishables & Personal Care Items: Not eligible for return due to hygiene and safety concerns. - Furniture: 15 days. Items must be in original packaging; opened mattresses are not returnable unless defective. Holiday Season Policy: For orders placed between Nov 15 Dec 31, we offer extended returns up to Jan 31 of the following year. This applies to gift purchases and seasonal sales. Always check your product page for specific return terms. Some limited edition or clearance items may have different rules."
04_Return_Time_Windows_Based_on_Product_Type.txt,1,Always check your product page for specific return terms. Some limited edition or clearance items may have different rules.
04_Return_Time_Windows_Based_on_Product_Type.txt,2,Some limited edition or clearance items may have different rules.
